,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
5842,5842,ID_Past Conflicts_NYT_1024,Cold Statistics_Prompt_Instance_ID_9549,killed six Palestinians,six Palestinians,Number about Deaths,"Palestinian civilians in Sheikh Radwan neighborhood, Gaza City",No,Yes,Many,Palestinian,Palestine,A rocket strike outside an apartment building in Gaza City’s Sheikh Radwan neighborhood killed six Palestinians.,2014,12 July 2014,NYT
5843,5843,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9610,fled,Several thousand,Number of Displaced Civilians,Palestinian civilians in northern Gaza,No,Yes,Many,Palestinian,Palestine,"Several thousand Palestinians, defying the urging of Hamas to remain in their homes, fled areas in northern Gaza early Sunday after Israel warned them through fliers and phone calls of major attacks to come.",2014,13 July 2014,NYT
5844,5844,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9611,killed,17 members of one extended family,Number of Deaths (Civilians),Members of a Palestinian extended family,No,Yes,Many,Palestinian,Palestine,Palestinians expressed anger over the previous day’s Israeli strikes on a center for people with disabilities and on a home in an attack that killed 17 members of one extended family.,2014,13 July 2014,NYT
5845,5845,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9612,classrooms,"31 classrooms, about 1,000 people",Number of Displaced Civilians Sheltering,Palestinian displaced civilians in a UN school,No,Yes,Many,Palestinian,Palestine,"It was a shock,” she said, estimating that for the 31 classrooms she had about 1,000 people.",2014,13 July 2014,NYT
5846,5846,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9613,displaced,"about 17,000 displaced people",Number of Displaced Civilians,Palestinian displaced civilians sheltering in Unrwa buildings,No,Yes,Many,Palestinian,Palestine,"about 17,000 displaced people were already sheltering in 20 Unrwa buildings.",2014,13 July 2014,NYT
5847,5847,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9616,killed,the funeral on Sunday for the 17 relatives who died in a bombing late Saturday,Number of Deaths (Civilians),17 relatives of Gen. Tayseer al-Batsh (Palestinian civilians),No,Yes,Many,Palestinian,Palestine,"the funeral on Sunday for the 17 relatives who died in a bombing late Saturday when Israel tried to kill Gen. Tayseer al-Batsh, the Hamas police chief.",2014,13 July 2014,NYT
5848,5848,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9617,children,including seven children,Number of Child Deaths (Civilians),Seven Palestinian children (part of the 17 relatives killed),Yes,Yes,Many,Palestinian,Palestine,"before burying the family, including seven children, and a neighbor in 18 graves dug in the same compound.",2014,13 July 2014,NYT
5849,5849,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9618,graves,18 graves,Number of Deaths (Civilians),17 relatives and a neighbor (Palestinian civilians),No,Yes,Many,Palestinian,Palestine,"before burying the family, including seven children, and a neighbor in 18 graves dug in the same compound.",2014,13 July 2014,NYT
5850,5850,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9619,wounded,scores wounded,Number of Wounded (Civilians),Palestinian civilians wounded by shattered glass and explosive compression,No,Yes,Many,Palestinian,Palestine,The attack left scores wounded by shattered glass and explosive compression.,2014,13 July 2014,NYT
5851,5851,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9620,death toll,"158, more than half of them noncombatants",Number of Deaths (Civilians and Noncombatants),Palestinian civilians and noncombatants,No,Yes,Many,Palestinian,Palestine,"The campaign’s death toll among Palestinians was 158, more than half of them noncombatants, and more than 1,100 people have been hurt, the Health Ministry said.",2014,13 July 2014,NYT
5852,5852,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9621,hurt,"more than 1,100 people have been hurt",Number of Wounded (Civilians),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"The campaign’s death toll among Palestinians was 158, more than half of them noncombatants, and more than 1,100 people have been hurt, the Health Ministry said.",2014,13 July 2014,NYT
5853,5853,ID_Past Conflicts_NYT_1026,Cold Statistics_Prompt_Instance_ID_9622,employees,"40,000 employees","Number of People (Hamas employees, affected by not being paid full salaries)",Hamas employees in Gaza,No,Yes,Many,Palestinian,Palestine,"which can no longer pay full salaries to its 40,000 employees.",2014,13 July 2014,NYT
5854,5854,ID_Past Conflicts_NYT_1032,Cold Statistics_Prompt_Instance_ID_9628,More than 160 Palestinians have been killed,More than 160,Number about Deaths (Killed Palestinians),Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,More than 160 Palestinians have been killed.,2014,13 July 2014,NYT
5855,5855,ID_Past Conflicts_NYT_1033,Cold Statistics_Prompt_Instance_ID_9629,three Israeli teenagers,three,Number about Victims (Abducted and Murdered),Israeli teenagers,Yes,Yes,Many,Israeli,Israel,after this month’s predawn abduction and killing of a Palestinian 16-year-old in what the authorities charge was a revenge attack for the earlier abduction and murder of three Israeli teenagers,2014,13 July 2014,NYT
5856,5856,ID_Past Conflicts_NYT_1033,Cold Statistics_Prompt_Instance_ID_9633,thousands at the funeral,thousands,Number of Attendees (Funeral for Slain Palestinian Teenager),Funeral attendees (Palestinians),No,Yes,Many,Palestinian,Palestine,"Mr. Jouni, who joined thousands at the funeral for Shuafat’s slain son, Muhammad Abu Khdeir",2014,13 July 2014,NYT
5857,5857,ID_Past Conflicts_NYT_1033,Cold Statistics_Prompt_Instance_ID_9636,arrested some 400 Palestinians in night raids,400,Number of Arrested Individuals (Palestinians),Arrested Palestinians (night raids),No,Yes,Many,Palestinian,Palestine,Among the commandoes who arrested some 400 Palestinians in night raids?,2014,13 July 2014,NYT
5858,5858,ID_Past Conflicts_NYT_1036,Cold Statistics_Prompt_Instance_ID_9641,1.8 million people,1.8 million people,Population Size (Gaza),Population of Gaza (civilians),No,Yes,Many,Palestinian,Palestine,"Gaza, a small place jammed with 1.8 million people, does not recess to the Stone, Iron, Middle or other Ages.",2014,14 July 2014,NYT
5859,5859,ID_Past Conflicts_NYT_1036,Cold Statistics_Prompt_Instance_ID_9642,the next 150 dead,the next 150 dead,Statistics about Deaths (future casualties),Future casualties in Gaza (likely Palestinian civilians),No,Yes,Many,Palestinian (inferred from context),Palestine,Things may look the same; and the next 150 dead will be part of that sameness.,2014,14 July 2014,NYT
5860,5860,ID_Past Conflicts_NYT_1036,Cold Statistics_Prompt_Instance_ID_9643,millions of Palestinian refugees,millions of Palestinian refugees,Number about Victims (displaced persons/refugees),Palestinian refugees,No,Yes,Many,Palestinian,Palestine,"...decisions that would include relinquishing, against compensation, the so-called “right of return” for millions of Palestinian refugees.",2014,14 July 2014,NYT
5861,5861,ID_Past Conflicts_NYT_1036,Cold Statistics_Prompt_Instance_ID_9644,three Israeli teenagers,three Israeli teenagers,Statistics about Deaths (murdered Israeli teenagers),Israeli teenagers killed (murdered),Yes,Yes,Many,Israeli,Israel,"The murder of Muhammad Abu Khdeir in revenge for the murders of three Israeli teenagers, and the brutal police beating of his cousin, were signs.",2014,14 July 2014,NYT
5862,5862,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9645,"More than 17,000 Palestinian civilians have fled","More than 17,000",Number about Displaced Civilians,Palestinian civilians fleeing northern Gaza,Yes,Yes,Many,Palestinian,Palestine,"More than 17,000 Palestinian civilians have fled from areas in northern Gaza near the boundary with Israel, after the Israeli military warned of impending attacks there, part of its campaign to curb militant rocket fire from Gaza.",2014,14 July 2014,NYT
5863,5863,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9646,hundreds of thousands of Gazans without water,hundreds of thousands,Number about Civilians Deprived of Water,Gazans without water,Yes,Yes,Many,Palestinian,Palestine,"Now, international aid workers are warning of a new humanitarian crisis, with hundreds of thousands of Gazans without water as workers refuse to repair pumping systems because several workers died in airstrikes.",2014,14 July 2014,NYT
5864,5864,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9647,"At least 180 Palestinians, most of them civilians, have been killed",At least 180,Number about Deaths (Civilians),Palestinian civilians killed by Israeli airstrikes,Yes,Yes,Many,Palestinian,Palestine,"At least 180 Palestinians, most of them civilians, have been killed since last week by Israeli airstrikes in Gaza.",2014,14 July 2014,NYT
5865,5865,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9648,millions have sought refuge in bomb shelters,millions,Number about Displaced/Seeking Refuge (Civilians),Israeli civilians seeking refuge in bomb shelters,Yes,Yes,Many,Israeli,Israel,"No Israelis have been killed by the rockets, as most have landed in open areas or were shot down by Israel’s Iron Dome defense system, although several people have been injured and millions have sought refuge in bomb shelters.",2014,14 July 2014,NYT
5866,5866,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9649,arresting hundreds,hundreds,Number about Arrested Individuals,Palestinians arrested by Israeli troops,Yes,Yes,Many,Palestinian,Palestine,"Israeli troops swept through the West Bank, arresting hundreds; and a Palestinian boy was beaten and burned to death in Jerusalem in an apparent revenge attack.",2014,14 July 2014,NYT
5867,5867,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9650,killed hundreds of Israelis in suicide bombings,hundreds,Number about Deaths (Civilians),Israelis killed in suicide bombings by Hamas,Yes,Yes,Many,Israeli,Israel,"Israel imposed even harsher restrictions on the movement of people and goods as militants periodically fired rockets and Hamas, which had killed hundreds of Israelis in suicide bombings, won Palestinian elections in 2006.",2014,14 July 2014,NYT
5868,5868,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9651,father of four,four,Number about Children (Family Size),Children of Ms. Marouf’s son-in-law,Yes,Yes,Many,Palestinian,Palestine,"Ms. Marouf’s son-in-law, a father of four, lost part of a leg and suffered internal injuries in a strike on Saturday as he headed to his work at a chicken shop.",2014,14 July 2014,NYT
5869,5869,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9652,several people; Israeli officials called it a mistake,several,Number about Deaths (Civilians),People killed in UN school airstrike,Yes,Yes,Many,Palestinian,Palestine,"The Maroufs fled to a United Nations school, where an Israeli airstrike killed several people; Israeli officials called it a mistake.",2014,14 July 2014,NYT
5870,5870,ID_Past Conflicts_NYT_1037,Cold Statistics_Prompt_Instance_ID_9653,six of them,six,Number about Deaths (Children),Neighborhood children killed by Israeli tank shell,Yes,Yes,Many,Palestinian,Palestine,"As they walked away, Hadeel said Monday, several neighborhood children tagged along. An Israeli tank shell killed six of them.",2014,14 July 2014,NYT
5871,5871,ID_Past Conflicts_NYT_1038,Cold Statistics_Prompt_Instance_ID_9654,nearly 200 Palestinians dead,nearly 200,Number about Deaths,Palestinian civilians killed by Israeli bombs,No,Yes,Many,Palestinian,Palestine,a week-old aerial battle that has left nearly 200 Palestinians dead from Israeli bombs,2014,14 July 2014,NYT
5872,5872,ID_Past Conflicts_NYT_1038,Cold Statistics_Prompt_Instance_ID_9656,At least 14 Palestinians were killed,At least 14,Number about Deaths,Palestinian civilians killed on the seventh day of Israeli air offensive,No,Yes,Many,Palestinian,Palestine,At least 14 Palestinians were killed on the seventh day of Israel’s air offensive,2014,14 July 2014,NYT
5873,5873,ID_Past Conflicts_NYT_1038,Cold Statistics_Prompt_Instance_ID_9657,bringing the total death toll in Gaza to about 180,about 180,Number about Deaths,Total Palestinian deaths in Gaza during the offensive,No,Yes,Many,Palestinian,Palestine,"bringing the total death toll in Gaza to about 180, many of them civilians.",2014,14 July 2014,NYT
5874,5874,ID_Past Conflicts_NYT_1038,Cold Statistics_Prompt_Instance_ID_9658,"A girl, 4, her father and her uncle",3,Number about Deaths,"A girl (age 4), her father, and her uncle killed in Rafah airstrike",Yes,Yes,Many,Palestinian,Palestine,"An airstrike on a house in Rafah in the southern Gaza Strip killed a girl, 4, her father and her uncle",2014,14 July 2014,NYT
5875,5875,ID_Past Conflicts_NYT_1038,Cold Statistics_Prompt_Instance_ID_9660,keeping millions of Israelis running for shelter,millions,Number about Displaced/Endangered (seeking shelter),Israeli civilians seeking shelter from rocket attacks,No,Yes,Many,Israeli,Israel,and keeping millions of Israelis running for shelter at the wail of the sirens.,2014,14 July 2014,NYT
5876,5876,ID_Past Conflicts_NYT_1041,Cold Statistics_Prompt_Instance_ID_9670,killed at least eight,at least eight,Number about Deaths,Palestinian civilians at a beachside cafe in Gaza,No,Yes,Many,Palestinian,Palestine,"about the same time that what was intended to be a “precision strike” from Israel’s military killed at least eight of their Palestinian neighbors, seated in similar plastic chairs at a beachside cafe in Gaza, waiting to watch the World Cup semifinal between Argentina and the Netherlands.",2014,14 July 2014,NYT
5877,5877,ID_Past Conflicts_NYT_1041,Cold Statistics_Prompt_Instance_ID_9671,three young religious students were kidnapped and murdered,three,Number about Kidnapped and Murdered Victims,Israeli young religious students,No,Yes,Many,Israeli,Israel,since three young religious students were kidnapped and murdered in the occupied West Bank last month.,2014,14 July 2014,NYT
